policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,baseline_access_group
D3_universal_elder_digital_access,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D3_universal_elder_digital_access,W2,ride_hailing_requests,10,4.0,2.357023,4.0,0.0,8.0,40-59
D3_universal_elder_digital_access,W2,successful_ride_hailing_requests,10,3.9,2.18327,4.0,0.0,7.0,40-59
D3_universal_elder_digital_access,W2,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,40-59
D3_universal_elder_digital_access,W2,mean_ride_hailing_wait_minutes_per_request,9,12.687228,2.418317,13.0478,9.6665,17.469889,40-59
D3_universal_elder_digital_access,W2,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,40-59
D3_universal_elder_digital_access,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,40-59
D3_universal_elder_digital_access,W2,planned_necessary_activities,10,16.1,0.316228,16.0,16.0,17.0,40-59
D3_universal_elder_digital_access,W2,completed_necessary_activities,10,16.0,0.0,16.0,16.0,16.0,40-59
D3_universal_elder_digital_access,W2,mandatory_activity_incomplete,10,0.1,0.316228,0.0,0.0,1.0,40-59
D3_universal_elder_digital_access,W2,necessary_activity_completion_rate,10,0.994118,0.018602,1.0,0.941176,1.0,40-59
D3_universal_elder_digital_access,W2,walking_legs,10,0.1,0.316228,0.0,0.0,1.0,40-59
D3_universal_elder_digital_access,W2,bus_legs,10,10.4,2.674987,10.0,6.0,16.0,40-59
D3_universal_elder_digital_access,W2,metro_legs,10,18.2,3.88158,18.5,11.0,24.0,40-59
D3_universal_elder_digital_access,W2,ride_hailing_legs,10,3.9,2.18327,4.0,0.0,7.0,40-59
D3_universal_elder_digital_access,W2,mean_total_travel_time,10,67.434746,4.75894,66.900279,60.279,77.210556,40-59
D3_universal_elder_digital_access,W2,total_outdoor_exposure_minutes,10,709.6142,76.009691,695.205,609.176,834.655,40-59
D3_universal_elder_digital_access,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,40-59
D3_universal_elder_digital_access,W2,policy_digital_agent_count,10,6.0,0.0,6.0,6.0,6.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,policy_assisted_agent_count,10,3.6,1.505545,4.0,1.0,5.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,mean_ride_hailing_wait_minutes_per_request,1,11.0,0.0,11.0,11.0,11.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,planned_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,completed_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,necessary_activity_completion_rate,9,1.0,0.0,1.0,1.0,1.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,bus_legs,10,7.3,2.451757,6.5,5.0,11.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,metro_legs,10,1.7,1.636392,1.5,0.0,5.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,ride_hailing_legs,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,mean_total_travel_time,10,63.057092,6.547269,63.582191,51.2453,69.745333,elder_baseline_digital
D3_universal_elder_digital_access,W2,total_outdoor_exposure_minutes,10,175.1337,61.545174,189.097,88.3,276.02,elder_baseline_digital
D3_universal_elder_digital_access,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D3_universal_elder_digital_access,W2,policy_digital_agent_count,10,4.9,1.197219,5.0,3.0,7.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,policy_assisted_agent_count,10,4.9,1.197219,5.0,3.0,7.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,planned_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,completed_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,bus_legs,10,5.1,3.107339,5.5,0.0,9.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,metro_legs,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,ride_hailing_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,mean_total_travel_time,10,54.946698,21.926926,57.859454,0.0,76.009875,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,total_outdoor_exposure_minutes,10,123.1488,74.191519,132.853,0.0,218.625,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D3_universal_elder_digital_access,W2,policy_digital_agent_count,9,2.333333,1.0,2.0,1.0,4.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,policy_assisted_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,policy_proxy_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,successful_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,failed_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,fallback_attempts,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,transport_unmet,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,planned_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,completed_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,mandatory_activity_incomplete,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,necessary_activity_completion_rate,4,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,walking_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,bus_legs,9,2.444444,1.333333,2.0,1.0,5.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,metro_legs,9,1.333333,1.732051,1.0,0.0,5.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,ride_hailing_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,mean_total_travel_time,9,59.329296,19.578187,61.493667,31.229,86.627333,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,total_outdoor_exposure_minutes,9,83.212556,45.245927,68.0,39.8,167.368,elder_baseline_nondigital_unassisted
D3_universal_elder_digital_access,W2,total_heat_risk_burden,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,policy_digital_agent_count,10,20.0,0.0,20.0,20.0,20.0,18-39
D4_limited_community_phone_25pct,W0,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W0,ride_hailing_requests,10,4.1,1.791957,4.5,1.0,6.0,18-39
D4_limited_community_phone_25pct,W0,successful_ride_hailing_requests,10,4.0,1.699673,4.5,1.0,6.0,18-39
D4_limited_community_phone_25pct,W0,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,18-39
D4_limited_community_phone_25pct,W0,mean_ride_hailing_wait_minutes_per_request,10,10.559458,1.95125,9.8936,8.0,14.51765,18-39
D4_limited_community_phone_25pct,W0,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,18-39
D4_limited_community_phone_25pct,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W0,planned_necessary_activities,10,18.0,0.0,18.0,18.0,18.0,18-39
D4_limited_community_phone_25pct,W0,completed_necessary_activities,10,17.5,0.527046,17.5,17.0,18.0,18-39
D4_limited_community_phone_25pct,W0,mandatory_activity_incomplete,10,0.5,0.527046,0.5,0.0,1.0,18-39
D4_limited_community_phone_25pct,W0,necessary_activity_completion_rate,10,0.972222,0.029281,0.972222,0.944444,1.0,18-39
D4_limited_community_phone_25pct,W0,walking_legs,10,1.5,1.080123,1.5,0.0,3.0,18-39
D4_limited_community_phone_25pct,W0,bus_legs,10,17.3,3.591657,17.0,13.0,26.0,18-39
D4_limited_community_phone_25pct,W0,metro_legs,10,22.2,3.190263,22.0,18.0,28.0,18-39
D4_limited_community_phone_25pct,W0,ride_hailing_legs,10,4.0,1.699673,4.5,1.0,6.0,18-39
D4_limited_community_phone_25pct,W0,mean_total_travel_time,10,61.579419,4.344235,62.285106,53.893442,68.942739,18-39
D4_limited_community_phone_25pct,W0,total_outdoor_exposure_minutes,10,983.5255,92.761071,975.679,847.06,1169.481,18-39
D4_limited_community_phone_25pct,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W0,policy_digital_agent_count,10,17.0,0.0,17.0,17.0,17.0,40-59
D4_limited_community_phone_25pct,W0,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W0,ride_hailing_requests,10,1.7,1.766981,1.0,0.0,5.0,40-59
D4_limited_community_phone_25pct,W0,successful_ride_hailing_requests,10,1.6,1.577621,1.0,0.0,4.0,40-59
D4_limited_community_phone_25pct,W0,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W0,mean_ride_hailing_wait_minutes_per_request,7,9.980912,1.752607,10.0,7.591,12.5358,40-59
D4_limited_community_phone_25pct,W0,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W0,planned_necessary_activities,10,16.1,0.316228,16.0,16.0,17.0,40-59
D4_limited_community_phone_25pct,W0,completed_necessary_activities,10,15.1,0.567646,15.0,14.0,16.0,40-59
D4_limited_community_phone_25pct,W0,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,3.0,40-59
D4_limited_community_phone_25pct,W0,necessary_activity_completion_rate,10,0.938603,0.048062,0.9375,0.823529,1.0,40-59
D4_limited_community_phone_25pct,W0,walking_legs,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W0,bus_legs,10,19.2,3.457681,20.0,13.0,24.0,40-59
D4_limited_community_phone_25pct,W0,metro_legs,10,13.2,3.084009,13.0,8.0,19.0,40-59
D4_limited_community_phone_25pct,W0,ride_hailing_legs,10,1.6,1.577621,1.0,0.0,4.0,40-59
D4_limited_community_phone_25pct,W0,mean_total_travel_time,10,67.437829,3.301681,67.969864,62.772559,72.986,40-59
D4_limited_community_phone_25pct,W0,total_outdoor_exposure_minutes,10,671.714,39.907479,677.398,610.683,743.694,40-59
D4_limited_community_phone_25pct,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W0,policy_digital_agent_count,10,6.0,0.0,6.0,6.0,6.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,policy_assisted_agent_count,10,3.6,1.505545,4.0,1.0,5.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,mean_ride_hailing_wait_minutes_per_request,1,11.0,0.0,11.0,11.0,11.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,planned_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,completed_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,necessary_activity_completion_rate,9,1.0,0.0,1.0,1.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,bus_legs,10,7.9,2.726414,8.0,5.0,13.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,metro_legs,10,1.4,2.1187,1.0,0.0,7.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,ride_hailing_legs,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,mean_total_travel_time,10,59.5338,5.424676,60.163334,49.971182,67.742,elder_baseline_digital
D4_limited_community_phone_25pct,W0,total_outdoor_exposure_minutes,10,175.6338,66.746813,185.971,82.58,273.405,elder_baseline_digital
D4_limited_community_phone_25pct,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W0,policy_digital_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,policy_assisted_agent_count,10,4.9,1.197219,5.0,3.0,7.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,planned_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,completed_necessary_activities,10,1.2,1.032796,1.0,0.0,3.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,bus_legs,10,6.0,2.905933,5.5,2.0,10.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,metro_legs,10,0.8,0.788811,1.0,0.0,2.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,ride_hailing_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,mean_total_travel_time,10,56.954133,10.183241,56.699418,37.9855,70.335625,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,total_outdoor_exposure_minutes,10,128.7746,57.153246,132.714,39.791,219.415,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_assisted
D4_limited_community_phone_25pct,W0,policy_digital_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,policy_assisted_agent_count,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,policy_proxy_agent_count,9,0.111111,0.333333,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,successful_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,failed_ride_hailing_requests,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,fallback_attempts,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,transport_unmet,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,planned_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,completed_necessary_activities,9,0.444444,0.527046,0.0,0.0,1.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,mandatory_activity_incomplete,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,necessary_activity_completion_rate,4,1.0,0.0,1.0,1.0,1.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,walking_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,bus_legs,9,3.111111,1.615893,3.0,1.0,6.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,metro_legs,9,1.0,1.5,0.0,0.0,4.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,ride_hailing_legs,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,mean_total_travel_time,9,56.38388,17.753554,60.003667,29.644333,78.1,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,total_outdoor_exposure_minutes,9,82.445889,41.430426,68.0,39.8,169.954,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W0,total_heat_risk_burden,9,0.0,0.0,0.0,0.0,0.0,elder_baseline_nondigital_unassisted
D4_limited_community_phone_25pct,W2,policy_digital_agent_count,10,20.0,0.0,20.0,20.0,20.0,18-39
D4_limited_community_phone_25pct,W2,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W2,ride_hailing_requests,10,8.9,2.558211,8.5,5.0,14.0,18-39
D4_limited_community_phone_25pct,W2,successful_ride_hailing_requests,10,7.6,3.134042,7.5,4.0,14.0,18-39
D4_limited_community_phone_25pct,W2,failed_ride_hailing_requests,10,1.3,2.002776,0.5,0.0,5.0,18-39
D4_limited_community_phone_25pct,W2,mean_ride_hailing_wait_minutes_per_request,10,11.68378,2.14392,11.055473,9.41675,15.391778,18-39
D4_limited_community_phone_25pct,W2,fallback_attempts,10,1.3,2.002776,0.5,0.0,5.0,18-39
D4_limited_community_phone_25pct,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W2,planned_necessary_activities,10,18.0,0.0,18.0,18.0,18.0,18-39
D4_limited_community_phone_25pct,W2,completed_necessary_activities,10,17.0,0.816497,17.0,16.0,18.0,18-39
D4_limited_community_phone_25pct,W2,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,2.0,18-39
D4_limited_community_phone_25pct,W2,necessary_activity_completion_rate,10,0.944444,0.045361,0.944444,0.888889,1.0,18-39
D4_limited_community_phone_25pct,W2,walking_legs,10,0.6,0.699206,0.5,0.0,2.0,18-39
D4_limited_community_phone_25pct,W2,bus_legs,10,9.9,4.280446,9.0,6.0,21.0,18-39
D4_limited_community_phone_25pct,W2,metro_legs,10,25.1,3.754997,25.0,20.0,31.0,18-39
D4_limited_community_phone_25pct,W2,ride_hailing_legs,10,7.6,3.134042,7.5,4.0,14.0,18-39
D4_limited_community_phone_25pct,W2,mean_total_travel_time,10,62.717015,4.426569,64.150024,53.332171,67.575609,18-39
D4_limited_community_phone_25pct,W2,total_outdoor_exposure_minutes,10,989.1723,107.371718,962.0575,853.058,1137.643,18-39
D4_limited_community_phone_25pct,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,18-39
D4_limited_community_phone_25pct,W2,policy_digital_agent_count,10,17.0,0.0,17.0,17.0,17.0,40-59
D4_limited_community_phone_25pct,W2,policy_assisted_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W2,ride_hailing_requests,10,4.0,2.357023,4.0,0.0,8.0,40-59
D4_limited_community_phone_25pct,W2,successful_ride_hailing_requests,10,3.9,2.18327,4.0,0.0,7.0,40-59
D4_limited_community_phone_25pct,W2,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W2,mean_ride_hailing_wait_minutes_per_request,9,12.687228,2.418317,13.0478,9.6665,17.469889,40-59
D4_limited_community_phone_25pct,W2,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W2,planned_necessary_activities,10,16.1,0.316228,16.0,16.0,17.0,40-59
D4_limited_community_phone_25pct,W2,completed_necessary_activities,10,16.0,0.0,16.0,16.0,16.0,40-59
D4_limited_community_phone_25pct,W2,mandatory_activity_incomplete,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W2,necessary_activity_completion_rate,10,0.994118,0.018602,1.0,0.941176,1.0,40-59
D4_limited_community_phone_25pct,W2,walking_legs,10,0.1,0.316228,0.0,0.0,1.0,40-59
D4_limited_community_phone_25pct,W2,bus_legs,10,10.4,2.674987,10.0,6.0,16.0,40-59
D4_limited_community_phone_25pct,W2,metro_legs,10,18.2,3.88158,18.5,11.0,24.0,40-59
D4_limited_community_phone_25pct,W2,ride_hailing_legs,10,3.9,2.18327,4.0,0.0,7.0,40-59
D4_limited_community_phone_25pct,W2,mean_total_travel_time,10,67.434746,4.75894,66.900279,60.279,77.210556,40-59
D4_limited_community_phone_25pct,W2,total_outdoor_exposure_minutes,10,709.6142,76.009691,695.205,609.176,834.655,40-59
D4_limited_community_phone_25pct,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,40-59
D4_limited_community_phone_25pct,W2,policy_digital_agent_count,10,6.0,0.0,6.0,6.0,6.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,policy_assisted_agent_count,10,3.6,1.505545,4.0,1.0,5.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,mean_ride_hailing_wait_minutes_per_request,1,11.0,0.0,11.0,11.0,11.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,planned_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,completed_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,necessary_activity_completion_rate,9,1.0,0.0,1.0,1.0,1.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D4_limited_community_phone_25pct,W2,bus_legs,10,7.3,2.451757,6.5,5.0,11.0,elder_baseline_digital
